"Is there a fee for issuing a duplicate degree?","Yes, you must pay a nominal fee and provide an affidavit to get a duplicate degree."
"Are classes conducted regularly in affiliated colleges?","This depends on the college; most conduct classes per the academic schedule."
"What is the dress code for exams?","There is no strict dress code, but students are expected to dress decently."
"What should I do if I lose my identity card?","Report to the college office and apply for a duplicate with valid ID proof."
"Are there hostel facilities for PG students?","Yes."
"What is the medium of instruction?","Hindi and English are the primary mediums, depending on the course and college."
"How are practical marks calculated?","Practical marks include lab performance, viva, attendance, and internal exams."
"What is the procedure to get a bonafide certificate?","Apply at the college with an application form, ID proof, and a passport photo."
"Are mobile phones allowed during university exams?","No, carrying mobile phones inside the examination hall is strictly prohibited."
"How can I get a copy of my attendance record?","Contact your college administration; many maintain a digital attendance log."
"What is the process for changing exam center?","Exam center changes are generally not allowed unless under emergency and with proper approval."
"Can I apply for college transfer after first year?","Transfers may be allowed after first year within affiliated colleges, subject to seat availability and permission."
"What is the timing of regular classes?","Class timings usually run between 10:00 AM to 4:00 PM, depending on the college and course."
"How are internal assessments conducted?","Through assignments, quizzes, presentations, attendance, and internal exams."
"Where can I get my syllabus copy?","You can download the syllabus from the university's official website or request it from your college."
"Are online classes conducted?","Online classes were conducted during COVID; currently, most classes are offline unless specified."
"What happens if I miss an exam due to illness?","Submit medical proof immediately; re-exam depends on university rules and approval."
"Is Aadhaar mandatory for admission?","Aadhaar is usually required as a valid ID for verification during admission."
"How to apply for a name correction in marksheet?","Submit a written application, original document, and a notarized affidavit to the examination section."
"Can private candidates apply for regular courses?","No, regular courses require full-time college attendance."
"What are the rules for exam cheating?","Students caught cheating are penalized, including cancellation of exam or debarring."
"Are degree programs recognized nationwide?","Yes, all degree programs approved by UGC are recognized across India."
"How to register for online grievances?","Visit the university website or college portal; many have grievance forms under student support."
"Does the university offer NCC/NSS activities?","Yes, many affiliated colleges offer NCC/NSS for holistic student development."
"How can I stay updated with university notifications?","Regularly check the official website and join college notice groups or WhatsApp broadcasts."
"Is there a dress code in colleges affiliated with Rajju Bhaiya University?","No formal dress code is enforced, but modest attire is recommended during college hours."
"What to do if my college is not approving my documents?","Visit the college principal’s office directly or file a grievance through the university channel."
"Can I get a fee concession on medical grounds?","Fee concessions may be granted by the college management on a case-by-case basis."
"Are female students given any special support?","Many colleges have Women’s Cells and provide sanitary facilities, safety, and counseling support."
"Does the university celebrate annual functions?","Yes, annual day celebrations, cultural fests, and award ceremonies."
"Is biometric attendance followed in colleges?","Some affiliated colleges have adopted biometric systems, but it’s not universally applied."
"Are there any coding or technical clubs in affiliated colleges?","Yes, many colleges run coding clubs, tech societies, and student chapters of professional bodies."
"Can I apply for government jobs with a degree from Rajju Bhaiya University?","Yes, degrees from this UGC-recognized university are valid for all competitive exams and jobs."
"What are the rules for transferring from private to government college under this university?","Transfers must be approved by both colleges and university, and require valid academic grounds."
"Are online result portals reliable and updated?","Yes, official result portals like http://erp.prsuniv.ac.in are reliable and updated by the university."
"Can I opt for subject change after 1st semester?","Subject changes after first semester are typically not allowed unless in exceptional cases."
"Do affiliated colleges offer evening or weekend classes?","Most colleges run daytime schedules; very few offer evening programs."
"What are the anti-ragging measures in place?","An anti-ragging affidavit is compulsory and colleges have monitoring committees as per UGC norms."
"Is Wi-Fi available in University?","Yes."
"Are distance education courses available at Rajju Bhaiya University?","No, the university currently focuses on regular and affiliated college programs, not distance education."
"What extracurricular activities are available?","Students can participate in debates, drama, sports, music, and NSS/NCC activities in many colleges."
"Are there facilities for career counseling?","Some colleges provide career counseling through dedicated faculty or placement cells."
"How is internal discipline maintained in colleges?","Each college has a proctorial board and disciplinary committee to ensure student conduct."
"What is the validity of the degree obtained from this university?","The degree is valid for life and recognized by UGC and other statutory bodies."
"What are the provisions for economically weaker students?","Fee waivers, scholarships, and state-level financial assistance are available based on income criteria."
"How to apply for a university migration certificate?","Apply through your college with all mark sheets and a request form; fees may apply."
"Can I cancel admission after registration?","Yes, cancellation is possible by applying in writing to your college before the last withdrawal date."
"What are the penalties for late fee submission?","A late fee penalty is added depending on how many days the payment is delayed."
"Are there PG courses offered directly by the university campus?","Yes, the campus offers selected PG programs in science, commerce, and arts."
"Is there any provision for industrial visits?","Yes, some professional courses include industrial or field visits as part of the curriculum."
"How can students raise suggestions or feedback?","Feedback boxes are available in colleges; students may also email or meet coordinators."
"How long is the academic session at Rajju Bhaiya University?","An academic session typically runs from July to May, with two semesters."
"Are smart classrooms available?","Yes, with Digital Board."
"Can I switch from B.Sc. to BCA?","Course switching is not permitted once the academic session has begun."
"What is the minimum passing percentage for UG exams?","You must score at least 33% in each subject to pass."
"Can students form their own clubs?","Yes, with approval from college authorities, students can create academic or cultural clubs."
"Is internship mandatory for graduation?","Not mandatory for general courses, but recommended for professional and vocational programs."
"Are answer sheets re-evaluated or just rechecked during revaluation?","Revaluation usually involves only rechecking the total and missed answers, not re-evaluation of answers."
"How to prepare for semester exams effectively?","Follow the syllabus strictly, revise previous papers, attend classes regularly, and make concise notes."
"Is attendance mandatory in practical subjects?","Yes, at least 75% attendance is required to appear in practical exams."
"How to request a change in spelling errors on admit card?","Contact your college exam cell immediately with valid ID and supporting documents."
"Can students use laptops inside the college?","Yes, for academic purposes, many colleges permit the use of laptops in classrooms or libraries."
"What are the library timings?","Usually from 9:00 am to 6:00 pm."
"Does the university offer value-added courses?","Some colleges offer value-added or certificate courses in spoken English, computers, etc."
"What’s the mode of result announcement?","Results are announced online on the Samarth portal or official university website."
"What if my marks are shown as zero or absent by mistake?","Contact your college immediately and file for marks correction with proof of attendance."
"Can I get fee concession if I’m a ward of a freedom fighter or martyr?","Yes, special provisions exist in UP for children of freedom fighters or martyrs; documents must be provided."
"How to check if my college is affiliated with the university?","Visit the official website under the “Affiliated Colleges” section to verify the affiliation list."
"Is there a reservation policy in admissions?","Yes, the university follows the UP Government reservation policy for SC/ST/OBC/EWS candidates."
"Are there any student exchange programs?","Currently, such programs are rare but may be available in select PG or professional courses."
"What are the minimum marks required for admission in B.Sc.?","Generally, a minimum of 45–50% in Class 12 with science stream is required, depending on the college."
"Can I update my phone number or email in university records?","Yes, contact your college administration with a written request and ID proof."
"What are the rules for carrying calculators in exams?","Calculators are allowed only in relevant subjects and must be non-programmable."
"How long does it take to get a duplicate mark sheet?","Usually 15–30 working days after application and fee submission."
"What should I do if my name is missing from the merit list?","Contact the admission committee immediately with your application proof and documents."
"Is there any helpline for university-related queries?","Yes, the university and most colleges offer helplines or email support for student grievances."
"Is biometric attendance compulsory in exams?","Not always, but some colleges and exam centers have started implementing biometric verification."
"What to do if my marksheet has wrong subject details?","Immediately report it to your college with written application and a copy of your admit card."
"Is there a sports quota for admissions?","Yes, many colleges offer reserved seats under sports quota subject to valid certification."
"Can I pay fees online?","Yes."
"What is the time frame to apply for a transcript?","Transcripts are usually issued within 15–20 working days of application."
"Are certificates digitally signed?","No, currently most documents are manually signed and stamped by authorities."
"Are there any on-campus recruitment drives?","Yes."
"Does the university provide UGC NET coaching?","Not directly, but some faculty may guide students informally or organize workshops."
"Can I get admission in PG course without entrance test?","Some courses allow merit-based admission, while others require entrance tests."
"Are foreign students admitted?","Yes, through a separate process via foreign cell or with necessary approvals from regulatory bodies."
"Are photocopy and stationery shops available in campus?","No."
"What is the weightage of internals and finals?","Typically, internals carry 20–30% weightage and semester-end exams 70–80%, depending on the course."
"Is there any anti-drug policy?","Yes, all colleges under the university strictly follow anti-drug policies and may take action if violated."
"Can I receive academic credit for extracurricular activities?","In some vocational and NEP-aligned courses, limited credit may be awarded for extracurriculars."
"Are there opportunities for research at the UG level?","Research exposure is limited at UG level, but some colleges encourage mini-projects and paper writing."
"Is there a holiday list published by the university?","Yes, an annual academic calendar including holidays is published on the university website."
"Can I get documents attested by the registrar?","Yes, apply at the registrar's office with original documents and purpose of attestation."
"What happens if I forget my exam admit card?","You may be denied entry. However, some centers may allow entry after ID verification and written undertaking."
"Are latecomers allowed in university exams?","Usually not after 30 minutes of start time; students are advised to reach the center early."
"Is it mandatory to carry a college ID during exams?","Yes, college ID or any valid photo ID is mandatory along with the admit card."
"Can I write exams in Hindi if my course is in English?","Yes, most theory exams allow Hindi or English, unless specified otherwise."
"How can I get my character certificate?","Apply through your college office with a written application and ID proof."
"Are BCA students eligible for MCA after graduation?","Yes, BCA graduates can apply for MCA programs after meeting eligibility and entrance requirements."
"Can I sit in exams if short in attendance?","No, students must meet minimum attendance criteria (usually 75%) to appear in exams."
"What is the process to get a migration certificate?","Submit an application through your college with final mark sheets and required fees."
"Are scholarships offered to minority students?","Yes, both central and state government scholarships are available for minority category students."
"Can I apply for RTI to get exam details?","Yes, you can file an RTI with the university for academic or administrative information."
"What happens if a student is caught with unfair means?","The student can be debarred, have papers canceled, or face further disciplinary action."
"How can I get my degree certificate?","Degree certificates are issued after the convocation or can be collected from your college later."
"Are fee receipts provided after payment?","Yes, digital or printed fee receipts are issued after payment, which should be preserved."
"Is internship compulsory in B.Com or B.A.?","Not mandatory, but highly recommended for job readiness, especially in the final year."
"Can I get a transfer certificate (TC) from the university?","TCs are issued by the college, not the university. Apply to your college office."
"Are there PG diploma courses available?","Yes."
"How can I submit grievances related to evaluation?","Submit a written application or use the online grievance redressal system provided by the university."
"Can I appear for exams without hall ticket printout?","No, printed admit card is compulsory for entry into exam centers."
"What if I face harassment in college?","Immediately report to the college grievance cell, anti-ragging cell, or Women’s Cell for action."
"How many courses are offered under the Faculty of Arts?","There are 11 courses offered under the Faculty of Arts, including Philosophy, Psychology, and Political Science."
"How many courses are offered under the Faculty of Science?","There are 8 courses listed under the Faculty of Science, such as Biotechnology, Zoology, and Mathematics."
"Which courses fall under the Faculty of Commerce & Management?","B.Com and BBA are listed under the Faculty of Commerce & Management."
"What professional programs are offered?","BCA is the professional program mentioned in the table."
"What value-added courses are offered?","There are five: Understanding India, Environment Education, Health & Wellness and Yoga, Digital and Technological Solutions, and NSS."
"How many SEC/Vocational courses are available?","There are 15 SEC/Vocational courses including Basics of Computer Applications, Food Processing, and Cyber Security."
"Name some vocational courses related to journalism.","Basics of Defence Journalism, Patrakarita Evam Jan Sanchar, and Political Journalism."
"Is Computer Application offered as a vocational subject?","Yes, Computer Application is listed under SEC/Vocational courses."
"Are there any vocational courses related to agriculture?","Yes, 'Fisheries' and 'Food Processing' can relate to agriculture."
"What professional courses are offered?","LLM, B.Tech. and M.Tech. (Dual Degree), B.A. LL.B., MBA, MCA, B.Pharm, and B.Sc. (Hons.) Agriculture."
"Does the university offer LLM?","Yes, LLM is offered under professional programs."
"Is there a course related to Yoga?","Yes, both 'Health, Wellness and Yoga' under value-added and 'Yoga and Fitness' under SEC are offered."
"Are communication skills part of the curriculum?","Yes, both under ability enhancement and vocational sections."
"What SEC courses support computer literacy?","Basics of Computer Applications and Basics of Microsoft Office."
"Is there any course related to cyber security?","Yes, 'Cyber Security' is listed under SEC/Vocational courses."
"What course is offered for Soft Skills Development?","'Soft Skills Development' is listed under vocational courses."
"Are there any remote sensing courses?","Yes, 'Remote Sensing' is one of the vocational options."
"Is there a value-added course for Understanding India?","Yes, 'Understanding India' is one of the value-added courses."
"What ability enhancement course is offered for English communication?","English Language Skill and Communication."
"What Master's programs are available in the Faculty of Arts?","Programs include Political Science, Sanskrit, MSW, English, Psychology, Sociology, Defence Studies, Economics, Hindi Literature, Philosophy, and more."
"Which diploma courses are offered at the postgraduate level?","Diploma courses offered include Sanskrit Jyotish and Sanskrit Karmakand."
"What Master's degrees are available under the Faculty of Science?","Master's degrees include Mathematics, Zoology, Botany, Physics, and Chemistry."
"What course is available under Master of Commerce?","The university offers M.Com under Master of Commerce."
"Which postgraduate science program includes Zoology?","M.Sc. Zoology is offered under the Master of Science category."
"What diploma course is available related to Sanskrit rituals?","'Sanskrit Karmakand' is a diploma course related to rituals."
"Is Political Science available in postgraduate courses?","Yes, Political Science is offered as an MA (Master of Arts)."
"What M.Sc. courses are offered in agriculture?","M.Sc. in Agronomy, Soil Science, Genetics and Plant Breeding, and Horticulture are offered."
"Which professional programs are related to agriculture?","M.Sc. Ag. Agronomy, M.Sc. Ag. Soil Science, M.Sc. Ag. Genetics and Plant Breeding, and M.Sc. Ag. Horticulture."
"Is M.Sc. Chemistry offered in the university?","Yes, M.Sc. Chemistry is one of the postgraduate programs."
"Can I pursue M.Com at Rajju Bhaiya University?","Yes, M.Com is offered as part of the postgraduate curriculum."
"What is the full form of MSW?","MSW stands for Master of Social Work."
"Is MA in Hindi Literature available?","Yes, MA in Hindi Literature is offered under the Master of Arts section."
"Are there PG courses available in Defence Studies?","Yes, PG in Defence Studies is available."
"Does the university offer postgraduate courses in Economics?","Yes, MA in Economics is listed."
"Is English offered as a Master's degree?","Yes, MA in English is available."
"Are there any professional M.Sc. agriculture programs?","Yes, there are four M.Sc. Ag. programs under Other Professional Programmes."
"What is the postgraduate science option for Botany?","M.Sc. Botany is offered under Master of Science."
"What postgraduate course is available for Mathematics?","M.Sc. Mathematics is available."
"What is the postgraduate course for Physics?","M.Sc. Physics is offered under the science stream."
"Who is the current Chancellor of Prof. Rajendra Singh (Rajju Bhaiya) University?","Smt. Anandiben Patel is the Hon’ble Governor of Uttar Pradesh and serves as the Chancellor."
"What is the official position of Smt. Anandiben Patel?","She is the Hon’ble Governor of Uttar Pradesh."
"Does the Chancellor of the university hold any government position?","Yes, the Chancellor is the Governor of Uttar Pradesh."
"Can I download the official photograph of the Chancellor?","Yes, the official photograph of the Chancellor can be downloaded from the university website."
"Is the Governor of Uttar Pradesh also the Chancellor of state universities?","Yes, as per state regulations, the Governor acts as the Chancellor of state universities in Uttar Pradesh."
"Who is the Vice Chancellor of Prof. Rajendra Singh (Rajju Bhaiya) University?","Dr. Akhilesh Kumar Singh is the Vice Chancellor."
"How can I contact the Vice Chancellor of PRSU?","You can contact via phone at +91-532-2256222 or email at vc@prsuniv.ac.in."
"What is the vision of PRSU as per the Vice Chancellor’s message?","The university aims to empower students by providing higher education and help them fulfill their potential."
"How many academic departments are there in PRSU?","There are 11 academic departments at PRSU."
"How many affiliated colleges are under PRSU?","There are over 636 affiliated colleges."
"Approximately how many students are enrolled in PRSU?","Around 4.25 lakh students are enrolled."
"What does the Vice Chancellor emphasize about PRSU’s role?","He highlights the university’s contribution to educational, economic, and social development."
"How does PRSU enhance employability of students?","Through quality education, skill-oriented programs, and career counseling."
"What technologies are adopted by PRSU for improving teaching?","PRSU promotes modern technologies and digital education tools for better teaching methods."
"What is PRSU’s approach to holistic student development?","The university promotes academic excellence, research, sports, arts, and personality development."
"Who is the Lokpal of Prof. Rajendra Singh (Rajju Bhaiya) University?","Prof. Seema Singh is the current Lokpal of PRSU."
"What is the designation of Prof. Seema Singh?","She is the Former Vice Chancellor of Uttar Pradesh Rajarshi Tandon Open University, Prayagraj."
"What is the official email ID of the Lokpal at PRSU?","The email ID is lokpal@prsuniv.ac.in."
"Where was Prof. Seema Singh previously serving?","She served at Rajarshi Tandon Open University, Prayagraj, (UP), India."
"How can one contact the Lokpal regarding student or academic grievances?","You can contact via the official email lokpal@prsuniv.ac.in."
"Who is the Dean of the Faculty of Arts at PRSU?","Prof. Vivek Kumar Singh is the Dean of the Faculty of Arts."
"What is the email ID of the Dean of the Faculty of Arts?","The email ID is dsw@prsuniv.ac.in."
"What is the full designation of Prof. Vivek Kumar Singh?","He is the Dean, Faculty of Arts at Prof. Rajendra Singh (Rajju Bhaiya) University."
"Where can students of the Arts faculty contact for official matters?","They can contact the Dean at dsw@prsuniv.ac.in."
"Is there a dedicated desk page for the Dean, Faculty of Arts?","Yes, the university website includes a desk page for the Dean of Arts faculty."
"Who is the Dean of the Faculty of Commerce?","Prof. Ashutosh Kumar Singh"
"Which department does Prof. Ashutosh Kumar Singh belong to?","Department of Hindi"
"What is the mobile number of Prof. Ashutosh Kumar Singh?","+91 7587439157"
"What is the email address of Prof. Ashutosh Kumar Singh?","dr.ashutosh@prsuniv.ac.in"
"What is Prof. Ashutosh Kumar Singh’s designation?","Dean, Faculty of Commerce"
"Who is the Dean of Student Welfare?","Prof. Ashutosh Kumar Singh"
"What is the mobile number of the Dean of Student Welfare?","+91 7587439157"
"What is the email address for the Dean of Student Welfare’s office?","hodahc@prsuniv.ac.in"
"What is Prof. Ashutosh Kumar Singh’s designation in this role?","Dean, Student Welfare"
"Is the same person both Dean of Commerce and Dean of Student Welfare?","Yes, Prof. Ashutosh Kumar Singh holds both positions."
"Who is the Registrar of the university?","Shri Sanjay Kumar"
"What is the phone number provided for the Registrar?","0532 2256222"
"What is the email address for the Registrar’s office?","registrar@prsuniv.ac.in"
"What is Shri Sanjay Kumar’s designation?","Registrar"
"Who is the Finance Officer?","Mr. Shashi Bhushan Singh Tomar"
"What phone number is listed for the Finance Officer?","0532 2256222"
"What is the email address for the Finance Officer?","fo@prsuniv.ac.in"
"What is Mr. Tomar’s formal title?","Finance Officer"
"Who is the Chief Proctor?","Prof. Raj Kumar Gupta"
"What is the mobile number of the Chief Proctor?","+91 9415153223"
"What is the email address for the Chief Proctor’s office?","hodahc@prsuniv.ac.in"
"What is Prof. Raj Kumar Gupta’s designation?","Chief Proctor"
"Who is the Librarian of Prof. Rajendra Singh (Rajju Bhaiya) University?","Dr. Praveen Kumar Mishra"
"What is the mobile number of the Librarian?","+91 8765722851"
"What is the email address of the Librarian?","librarian@prsuniv.ac.in"
"What is Dr. Praveen Kumar Mishra’s designation?","Librarian"
"Is the “Desk Page” content available for the Librarian?","No, the desk page is empty."
"Question","Answer"
"Who is the Director of IQAC (Internal Quality Assurance Cell) at PRSU?","Prof. Shailendra Kumar Singh"
"What is the mobile number of Prof. Shailendra Kumar Singh?","+91 9453241225"
"What is the email address of the IQAC Director?","director.iqac@prsuniv.ac.in"
"What is Prof. Shailendra Kumar Singh’s designation?","Director, IQAC"
"Who teaches in the Department of Defence & Strategic Studies?","1. Dr. Rahul Kumar – Assistant Professor (National Security, International Relations/Law, Regional Security); 2. Dr. Divya Dwivedi – Assistant Professor (National Security, Cyber Security, South Asian Affairs); 3. Dr. Sushil Kumar Singh – Guest Faculty (International Strategic Relations, Maritime & Internal Security)"
"Who is the faculty member in the Department of Geography?","Dr. Shweta Srivastava – Assistant Professor (Agricultural Geography, Population Geography, Physical Geography)"
"Who are the faculty members in the Department of Hindi?","1. Dr. Ashutosh Kumar Singh – Professor; 2. Dr. Alka Mishra – Assistant Professor (Stri Vimarsh, Bhasha Vigyan, Kavya Shashtra); 3. Dr. Ajeet Singh – Assistant Professor (Adhunik Kavita)"
"Who teaches in the Department of Philosophy?","Dr. Yuvraj Singh – Assistant Professor (Logic & Symbolic Logic, Ethics, Western Philosophy)"
"Who are the faculty members in the Department of Political Science?","1. Dr. Utkarsh Upadhyay – Assistant Professor (South Asian Politics, Political Theory); 2. Dr. Atul Kumar Verma – Assistant Professor (Indian Foreign Policy, Govt. & Politics of South Asia); 3. Dr. Rahul Shrivastava – Guest Faculty; 4. Dr. Akshay Bhatt – Guest Faculty"
"Who are the Sanskrit department faculty members?","1. Dr. Manmohan Tiwari – Associate Professor (Indian Philosophy, Sanskrit Literature & Grammar); 2. Dr. Praveen Kumar Dwivedy – Assistant Professor (Indian Philosophy, Sanskrit Literature & Grammar)"
"Who teaches in the Sociology department?","Dr. Anand Raja – Assistant Professor"
"Who are the faculty members in the Department of Social Work?","1. Prof. Vivek Kumar Singh – Professor; 2. Dr. Geetanjali Srivastava – Assistant Professor (Family & Child Welfare, Youth Development); 3. Dr. Kavita Gautam – Assistant Professor (Rural Development, Social Work, Psychiatry)"
"Who teaches in the English department?","1. Kaushiki Shukla – Guest Faculty; 2. Dr. Shalini – Guest Faculty"
"Who are the faculty members in the Department of Psychology at PRSU?","1. Dr. Payal Kapoor – Guest Faculty; 2. Dr. Govind Singh – Guest Faculty"
"Who teaches in the Department of Commerce?","1. Prof. Archana Chandra – Professor; 2. Dr. Priyanka Saxena – Assistant Professor (Commerce & Management); 3. Dr. Gautam Kohli – Assistant Professor (Marketing, Insurance, Finance)"
"Who are the faculty members in the Faculty of Law?","1. Dr. Vishal Vikram Singh – Guest Faculty; 2. Garima Singh – Guest Faculty"
"Who are the faculty members in the Agriculture Department?","1. Dr. Divya Singh – Guest Faculty; 2. Dr. Yamini S – Guest Faculty; 3. Mr. Vinod Kumar – Guest Faculty; 4. Dr. Lavkush Pandey – Guest Faculty; 5. Dr. Anuj Kumar – Guest Faculty; 6. Dr. Sachchida Nand Mishra – Guest Faculty; 7. Dr. Avanish Yadav – Guest Faculty; 8. Dr. Tarun Kumar – Guest Faculty"
"Who are the Computer Science faculty members?","1. Dr. Manish Jaiswal – Guest Faculty; 2. Dr. Parul Pandey – Guest Faculty"
"Who is the faculty in the Department of Ancient History, Culture, and Archaeology?","Dr. Manoj Kumar Verma; Mobile: 9415302861; Email: manojverma@prsuniv.ac.in"
"Who is the convener of Pt. Deen Dayal Upadhyay Shodhpeeth?","Dr. Ashutosh Kumar Singh; Mobile: 7587439157; Email: dr.ashutosh@prsuniv.ac.in"
"What is the objective of the Deen Dayal Upadhyay Shodhpeeth?","To promote nationalistic and human values among youth through workshops, seminars, and knowledge platforms. It aims to build self-awareness and provide a platform for intellectual discussion."
"What is the fee for the BA+MA (IPA) integrated program?","₹4,280 (UG) and ₹6,000 (PG) per year"
"What is the fee for the BBA+MBA (IPM) program?","₹13,830 (UG) and ₹17,530 (PG) per year"
"What is the fee for the B.Pharm program?","₹47,080 per year"
"What is the fee for the BA LLB program?","₹27,380 per year"
"What is the fee for M.Sc. Agriculture (All Subjects)?","₹12,380 per year"
"What is the fee for the M.Tech Dual Degree (AI & Data Science)?","₹27,380 (UG) and ₹30,880 (PG) per year"
"What is the fee for BCA and MCA programs?","BCA: ₹22,380 per year; MCA: ₹27,380 per year"
"What is the fee for the LLM program?","₹31,880 per year"
"What is the fee for the Diploma in Karmkand/Jyotish?","₹980"
"Who is eligible to fill out the feedback form?","Only students of PRSU"
"What is the purpose of the student feedback form?","To evaluate faculty performance and ensure quality education. It helps in identifying and rewarding the best-performing teachers."
"What details are required to fill the feedback form?","Email, Class/Semester, Enrollment Number, Course/Teacher feedback"
"What major facilities are available at PRSU?","Central Library, IT Centre, Media Studios, Hostel Accommodation, Health Centre, Sports Grounds, Guest House, NSS, NCC, Rovers & Rangers"
"Are hostel facilities available at PRSU?","Yes, hostel facilities are available for both boys and girls"
